x,y,z,T,solid
0.071987759,0.075716284,0.0,307.09712,1.0
0.071987759,0.076140391,0.0,307.09718,1.0
0.071987759,0.076564498,0.0,307.09724,1.0
0.072413353,0.070202898,0.0,307.09669,1.0
0.072413353,0.070627005,0.0,307.0967,1.0
0.072413353,0.071051112,0.0,307.09671,1.0
0.072413353,0.071475218,0.0,307.09673,1.0
0.072413353,0.071899325,0.0,307.09675,1.0
0.072413353,0.072323431,0.0,307.09677,1.0
0.072413353,0.072747538,0.0,307.0968,1.0
0.072413353,0.073171645,0.0,307.09684,1.0
0.072413353,0.073595751,0.0,307.09688,1.0
0.072413353,0.074019858,0.0,307.09692,1.0
0.072413353,0.074443965,0.0,307.09697,1.0
0.072413353,0.074868071,0.0,307.09702,1.0
0.072413353,0.075292178,0.0,307.09708,1.0
0.072413353,0.075716284,0.0,307.09714,1.0
0.072413353,0.076140391,0.0,307.0972,1.0
0.072413353,0.076564498,0.0,307.09726,1.0
0.072838947,0.070202898,0.0,307.09671,1.0
0.072838947,0.070627005,0.0,307.09671,1.0
0.072838947,0.071051112,0.0,307.09673,1.0
0.072838947,0.071475218,0.0,307.09674,1.0
0.072838947,0.071899325,0.0,307.09676,1.0
0.072838947,0.072323431,0.0,307.09679,1.0
0.072838947,0.072747538,0.0,307.09682,1.0
0.072838947,0.073171645,0.0,307.09686,1.0
0.072838947,0.073595751,0.0,307.0969,1.0
0.072838947,0.074019858,0.0,307.09694,1.0
0.072838947,0.074443965,0.0,307.09699,1.0
0.072838947,0.074868071,0.0,307.09704,1.0
0.072838947,0.075292178,0.0,307.0971,1.0
0.072838947,0.075716284,0.0,307.09715,1.0
0.072838947,0.076140391,0.0,307.09722,1.0
0.072838947,0.076564498,0.0,307.09728,1.0
0.073264541,0.070202898,0.0,307.09672,1.0
0.073264541,0.070627005,0.0,307.09673,1.0
0.073264541,0.071051112,0.0,307.09674,1.0
